('6677f9697acf35542d8eeb54', 'WRO', 'TZL', 100, '2024-06-25', '04:39:00', 'Air France', '9 hours', 352)
('6677f96b7acf35542d8eeb98', 'SMF', 'CFK', 100, '2024-06-27', '01:32:00', 'Lufthansa', '2 hours', 41)
('6677f96b7acf35542d8eeb9a', 'VRN', 'CJS', 100, '2024-06-29', '22:16:00', 'Air France', '13 hours', 382)
('6677f96b7acf35542d8eeb9b', 'VRN', 'MPL', 100, '2024-06-24', '10:48:00', 'Lufthansa', '10 hours', 444)
('6677f96b7acf35542d8eeb9c', 'VRN', 'GBT', 100, '2024-06-26', '02:21:00', 'Ryanair', '7 hours', 91)
('6677f96b7acf35542d8eeb9d', 'VRN', 'DDG', 100, '2024-06-26', '23:20:00', 'Air France', '11 hours', 175)
('6677f96b7acf35542d8eeb9f', 'BOJ', 'TKU', 100, '2024-07-01', '02:04:00', 'Ryanair', '11 hours', 173)
('6677f96b7acf35542d8eeba0', 'BOJ', 'OTP', 100, '2024-06-29', '00:31:00', 'Air France', '4 hours', 173)
('6677f96b7acf35542d8eeba1', 'BOJ', 'TRV', 100, '2024-07-02', '23:41:00', 'Lufthansa', '2 hours', 89)
('6677f96b7acf35542d8eeba4', 'REP', 'AAZ', 100, '2024-07-02', '07:33:00', 'EasyJet', '9 hours', 258)
('6677f96b7acf35542d8eeba5', 'REP', 'INU', 100, '2024-07-03', '03:16:00', 'Lufthansa', '7 hours', 128)
('6677f96b7acf35542d8eeba6', 'REP', 'SPX', 100, '2024-07-03', '08:49:00', 'EasyJet', '2 hours', 328)
('6677f96b7acf35542d8eeba7', 'REP', 'CLY', 100, '2024-06-30', '11:30:00', 'Air France', '2 hours', 323)
('6677f96b7acf35542d8eeba9', 'OUA', 'MAD', 100, '2024-07-02', '01:20:00', 'Lufthansa', '13 hours', 175)
('6677f96c7acf35542d8eebae', 'DRS', 'SXB', 100, '2024-07-02', '10:01:00', 'EasyJet', '6 hours', 262)
('6677f96c7acf35542d8eebb3', 'SCN', 'LVI', 100, '2024-07-03', '03:21:00', 'Lufthansa', '4 hours', 499)
('6677f96c7acf35542d8eebb8', 'FMO', 'VOG', 100, '2024-07-03', '02:30:00', 'Ryanair', '3 hours', 78)
('6677f96c7acf35542d8eebb9', 'FMO', 'IST', 100, '2024-06-24', '22:59:00', 'Ryanair', '11 hours', 286)
('6677f96c7acf35542d8eebbd', 'MUX', 'MAR', 100, '2024-06-24', '19:03:00', 'Ryanair', '1 hours', 131)
('6677f96c7acf35542d8eebc2', 'EXT', 'JFK', 100, '2024-06-29', '20:42:00', 'Air France', '11 hours', 119)
('6677f96c7acf35542d8eebc3', 'EXT', 'STN', 100, '2024-06-29', '03:16:00', 'EasyJet', '8 hours', 209)
('6677f96c7acf35542d8eebc4', 'EXT', 'MTH', 100, '2024-06-25', '07:37:00', 'British Airways', '5 hours', 190)
('6677f96c7acf35542d8eebc5', 'EXT', 'DYG', 100, '2024-06-25', '16:32:00', 'Lufthansa', '11 hours', 475)
('6677f96c7acf35542d8eebc7', 'PMO', 'PHL', 100, '2024-07-03', '15:45:00', 'Air France', '7 hours', 111)
('6677f96c7acf35542d8eebc8', 'PMO', 'BIK', 100, '2024-06-26', '22:15:00', 'Lufthansa', '2 hours', 378)
('6677f96c7acf35542d8eebc9', 'PMO', 'PUY', 100, '2024-06-28', '07:56:00', 'Ryanair', '11 hours', 207)
('6677f96c7acf35542d8eebcc', 'CYO', 'TNR', 100, '2024-06-25', '08:08:00', 'EasyJet', '2 hours', 282)
('6677f96c7acf35542d8eebcd', 'CYO', 'GMZ', 100, '2024-07-01', '16:02:00', 'EasyJet', '10 hours', 44)
('6677f96c7acf35542d8eebd1', 'BTH', 'NCL', 100, '2024-07-03', '00:04:00', 'Ryanair', '2 hours', 474)
('6677f96c7acf35542d8eebd2', 'BTH', 'PER', 100, '2024-07-02', '20:36:00', 'EasyJet', '11 hours', 359)
('6677f96c7acf35542d8eebd3', 'BTH', 'LIS', 100, '2024-06-29', '12:27:00', 'British Airways', '11 hours', 352)
('6677f96c7acf35542d8eebd4', 'BTH', 'YYZ', 100, '2024-06-24', '16:32:00', 'Lufthansa', '1 hours', 385)
('6677f96c7acf35542d8eebd6', 'HER', 'NLU', 100, '2024-06-27', '05:12:00', 'Ryanair', '6 hours', 281)
('6677f96c7acf35542d8eebdb', 'BIQ', 'ATL', 100, '2024-06-27', '07:50:00', 'Ryanair', '11 hours', 158)
('6677f96c7acf35542d8eebdc', 'BIQ', 'BOH', 100, '2024-06-26', '14:52:00', 'EasyJet', '2 hours', 375)
('6677f96c7acf35542d8eebdd', 'BIQ', 'RNS', 100, '2024-06-24', '10:19:00', 'Lufthansa', '6 hours', 46)
('6677f96d7acf35542d8eebe0', 'BVA', 'NYO', 100, '2024-06-29', '09:26:00', 'Air France', '5 hours', 148)
('6677f96d7acf35542d8eebe1', 'BVA', 'EGS', 100, '2024-07-03', '05:50:00', 'British Airways', '5 hours', 149)
('6677f96d7acf35542d8eebe5', 'GNB', 'BIA', 100, '2024-06-27', '19:03:00', 'Lufthansa', '1 hours', 203)
('6677f96d7acf35542d8eebe6', 'GNB', 'XCH', 100, '2024-07-03', '20:04:00', 'Air France', '9 hours', 147)
('6677f96d7acf35542d8eebea', 'CLY', 'NJF', 100, '2024-06-28', '08:02:00', 'British Airways', '6 hours', 398)
('6677f96d7acf35542d8eebeb', 'CLY', 'NYO', 100, '2024-06-30', '10:03:00', 'Ryanair', '14 hours', 198)
('6677f96d7acf35542d8eebec', 'CLY', 'PWM', 100, '2024-06-24', '02:23:00', 'Lufthansa', '10 hours', 350)
('6677f96d7acf35542d8eebef', 'FSC', 'TFN', 100, '2024-06-29', '17:28:00', 'Air France', '10 hours', 306)
('6677f96d7acf35542d8eebf0', 'FSC', 'GDN', 100, '2024-06-29', '11:45:00', 'British Airways', '2 hours', 305)
('6677f96d7acf35542d8eebf1', 'FSC', 'MIA', 100, '2024-06-24', '12:45:00', 'Air France', '5 hours', 55)
('6677f96d7acf35542d8eebf2', 'FSC', 'OUL', 100, '2024-06-24', '12:34:00', 'British Airways', '4 hours', 116)
('6677f96d7acf35542d8eebf4', 'JRO', 'IEG', 100, '2024-06-25', '13:42:00', 'EasyJet', '14 hours', 122)
('6677f96d7acf35542d8eebf5', 'JRO', 'DAR', 100, '2024-06-28', '03:40:00', 'EasyJet', '5 hours', 193)
('6677f96d7acf35542d8eebf9', 'OLB', 'OSD', 100, '2024-06-30', '03:49:00', 'Ryanair', '2 hours', 377)
('6677f96d7acf35542d8eebfa', 'OLB', 'KLU', 100, '2024-06-30', '07:07:00', 'Ryanair', '8 hours', 448)
('6677f96d7acf35542d8eebfb', 'OLB', 'SAI', 100, '2024-06-25', '04:16:00', 'EasyJet', '1 hours', 55)
('6677f96d7acf35542d8eebfc', 'OLB', 'SKT', 100, '2024-06-27', '22:49:00', 'Air France', '4 hours', 62)
('6677f96d7acf35542d8eebfe', 'BRS', 'AUH', 100, '2024-06-30', '02:26:00', 'EasyJet', '14 hours', 121)
('6677f96d7acf35542d8eebff', 'BRS', 'OZH', 100, '2024-06-29', '11:23:00', 'Ryanair', '12 hours', 356)
('6677f96d7acf35542d8eec00', 'BRS', 'ETZ', 100, '2024-07-01', '17:04:00', 'Air France', '10 hours', 375)
('6677f96d7acf35542d8eec01', 'BRS', 'SCN', 100, '2024-06-27', '10:10:00', 'Lufthansa', '11 hours', 420)
('6677f96d7acf35542d8eec03', 'CTA', 'GMZ', 100, '2024-06-27', '04:42:00', 'EasyJet', '14 hours', 126)
('6677f96d7acf35542d8eec04', 'CTA', 'DKR', 100, '2024-07-01', '04:42:00', 'Ryanair', '11 hours', 107)
('6677f96d7acf35542d8eec05', 'CTA', 'AAZ', 100, '2024-06-25', '15:13:00', 'Lufthansa', '9 hours', 184)
('6677f96d7acf35542d8eec06', 'CTA', 'SDF', 100, '2024-06-24', '07:44:00', 'Lufthansa', '10 hours', 201)
('6677f96e7acf35542d8eec08', 'PAP', 'LCK', 100, '2024-06-26', '06:55:00', 'British Airways', '10 hours', 449)
('6677f96e7acf35542d8eec09', 'PAP', 'ANR', 100, '2024-06-28', '16:25:00', 'Air France', '1 hours', 249)
('6677f96e7acf35542d8eec0a', 'PAP', 'AVV', 100, '2024-06-25', '17:02:00', 'Lufthansa', '10 hours', 324)
('6677f96e7acf35542d8eec0d', 'CAP', 'BOJ', 100, '2024-06-24', '17:17:00', 'Air France', '14 hours', 115)
('6677f96e7acf35542d8eec0e', 'CAP', 'JNB', 100, '2024-06-30', '00:18:00', 'EasyJet', '8 hours', 254)
('6677f96e7acf35542d8eec0f', 'CAP', 'ESL', 100, '2024-06-25', '06:18:00', 'EasyJet', '5 hours', 77)
('6677f96e7acf35542d8eec10', 'CAP', 'ILZ', 100, '2024-06-27', '18:23:00', 'Lufthansa', '13 hours', 410)
('6677f96e7acf35542d8eec12', 'GOT', 'MDW', 100, '2024-07-03', '09:54:00', 'Ryanair', '5 hours', 85)
('6677f96e7acf35542d8eec13', 'GOT', 'OSW', 100, '2024-06-28', '21:19:00', 'Lufthansa', '14 hours', 337)
('6677f96e7acf35542d8eec17', 'SEA', 'CEE', 100, '2024-07-02', '11:53:00', 'Ryanair', '7 hours', 240)
('6677f96e7acf35542d8eec18', 'SEA', 'ATZ', 100, '2024-07-02', '11:52:00', 'British Airways', '13 hours', 200)
('6677f96e7acf35542d8eec19', 'SEA', 'TRF', 100, '2024-07-02', '06:50:00', 'Lufthansa', '9 hours', 242)
('6677f96e7acf35542d8eec1a', 'SEA', 'KLV', 100, '2024-06-25', '10:44:00', 'Lufthansa', '1 hours', 219)
('6677f96e7acf35542d8eec1c', 'NCL', 'BGI', 100, '2024-07-03', '06:05:00', 'Lufthansa', '4 hours', 316)
('6677f96e7acf35542d8eec1d', 'NCL', 'ABD', 100, '2024-06-28', '20:49:00', 'Ryanair', '5 hours', 144)
('6677f96e7acf35542d8eec21', 'VLI', 'BOH', 100, '2024-06-26', '12:14:00', 'Lufthansa', '13 hours', 317)
('6677f96e7acf35542d8eec22', 'VLI', 'BIO', 100, '2024-06-30', '18:27:00', 'Ryanair', '10 hours', 140)
('6677f96e7acf35542d8eec23', 'VLI', 'BEG', 100, '2024-06-28', '17:06:00', 'Lufthansa', '13 hours', 312)
('6677f96e7acf35542d8eec24', 'VLI', 'DJJ', 100, '2024-07-03', '20:18:00', 'Lufthansa', '6 hours', 330)
('6677f96e7acf35542d8eec26', 'VDE', 'NBJ', 100, '2024-07-02', '18:40:00', 'Lufthansa', '9 hours', 90)
('6677f96e7acf35542d8eec27', 'VDE', 'STL', 100, '2024-06-30', '04:08:00', 'Lufthansa', '8 hours', 224)
('6677f96e7acf35542d8eec28', 'VDE', 'OGL', 100, '2024-07-03', '12:27:00', 'Ryanair', '11 hours', 244)
('6677f96e7acf35542d8eec29', 'VDE', 'VLN', 100, '2024-06-27', '03:39:00', 'Air France', '9 hours', 418)
('6677f96e7acf35542d8eec2b', 'IEG', 'PDG', 100, '2024-06-24', '15:02:00', 'Lufthansa', '8 hours', 399)
('6677f96f7acf35542d8eec30', 'PEG', 'PWM', 100, '2024-06-28', '15:45:00', 'Air France', '4 hours', 302)
('6677f96f7acf35542d8eec31', 'PEG', 'EIN', 100, '2024-06-27', '12:48:00', 'British Airways', '12 hours', 46)
('6677f96f7acf35542d8eec32', 'PEG', 'PRN', 100, '2024-06-25', '02:27:00', 'British Airways', '5 hours', 145)
('6677f96f7acf35542d8eec33', 'PEG', 'GRZ', 100, '2024-06-29', '04:24:00', 'Air France', '10 hours', 79)
('6677f96f7acf35542d8eec35', 'CPT', 'CIT', 100, '2024-06-30', '20:04:00', 'British Airways', '1 hours', 266)
('6677f96f7acf35542d8eec3a', 'AOI', 'KAB', 100, '2024-06-26', '05:33:00', 'Lufthansa', '6 hours', 79)
('6677f96f7acf35542d8eec3b', 'AOI', 'MDW', 100, '2024-06-29', '23:03:00', 'Air France', '13 hours', 335)
('6677f96f7acf35542d8eec3c', 'AOI', 'MDL', 100, '2024-06-29', '04:57:00', 'Air France', '8 hours', 376)
('6677f96f7acf35542d8eec3f', 'LUZ', 'HRI', 100, '2024-07-03', '15:06:00', 'Air France', '12 hours', 474)
('6677f96f7acf35542d8eec40', 'LUZ', 'AXA', 100, '2024-07-02', '17:09:00', 'Ryanair', '10 hours', 178)
('6677f96f7acf35542d8eec41', 'LUZ', 'LXR', 100, '2024-07-03', '00:24:00', 'Lufthansa', '8 hours', 363)
('6677f96f7acf35542d8eec44', 'SCQ', 'ZTR', 100, '2024-06-28', '00:10:00', 'British Airways', '14 hours', 357)
('6677f96f7acf35542d8eec45', 'SCQ', 'KWI', 100, '2024-06-29', '16:40:00', 'Lufthansa', '6 hours', 123)
('6677f96f7acf35542d8eec46', 'SCQ', 'CUM', 100, '2024-07-03', '13:00:00', 'Ryanair', '2 hours', 197)
('6677f96f7acf35542d8eec47', 'SCQ', 'OAK', 100, '2024-06-24', '23:03:00', 'Air France', '11 hours', 218)
('6677f96f7acf35542d8eec49', 'OSD', 'PWM', 100, '2024-06-25', '13:01:00', 'Lufthansa', '9 hours', 274)
('6677f96f7acf35542d8eec4a', 'OSD', 'IKA', 100, '2024-07-03', '01:35:00', 'British Airways', '4 hours', 212)
('6677f96f7acf35542d8eec4b', 'OSD', 'SYX', 100, '2024-06-26', '04:42:00', 'Air France', '5 hours', 125)
('6677f96f7acf35542d8eec4e', 'CEK', 'DZO', 100, '2024-06-30', '12:09:00', 'Air France', '12 hours', 282)
('6677f96f7acf35542d8eec4f', 'CEK', 'OCF', 100, '2024-06-28', '13:28:00', 'Lufthansa', '11 hours', 110)
('6677f96f7acf35542d8eec53', 'VVO', 'CLT', 100, '2024-06-30', '01:03:00', 'British Airways', '3 hours', 381)
('6677f96f7acf35542d8eec54', 'VVO', 'BUS', 100, '2024-07-01', '16:59:00', 'Lufthansa', '10 hours', 129)
('6677f96f7acf35542d8eec58', 'KZN', 'SYX', 100, '2024-06-24', '05:35:00', 'Ryanair', '7 hours', 170)
('6677f96f7acf35542d8eec59', 'KZN', 'NTY', 100, '2024-06-24', '18:16:00', 'Ryanair', '10 hours', 252)
('6677f9707acf35542d8eec5d', 'BQS', 'PFO', 100, '2024-07-01', '06:20:00', 'Air France', '6 hours', 71)
('6677f9707acf35542d8eec5e', 'BQS', 'SWA', 100, '2024-06-29', '07:20:00', 'Air France', '10 hours', 88)
('6677f9707acf35542d8eec5f', 'BQS', 'PUJ', 100, '2024-06-26', '21:45:00', 'Lufthansa', '6 hours', 171)
('6677f9707acf35542d8eec60', 'BQS', 'AXM', 100, '2024-06-26', '08:27:00', 'British Airways', '4 hours', 437)
('6677f9707acf35542d8eec62', 'STW', 'WAW', 100, '2024-06-25', '22:07:00', 'Air France', '1 hours', 327)
('6677f9707acf35542d8eec63', 'STW', 'SAN', 100, '2024-06-24', '13:31:00', 'Ryanair', '5 hours', 490)
('6677f9707acf35542d8eec64', 'STW', 'GBT', 100, '2024-06-24', '00:06:00', 'British Airways', '13 hours', 290)
('6677f9707acf35542d8eec67', 'KSC', 'FLN', 100, '2024-06-27', '03:34:00', 'British Airways', '13 hours', 375)
('6677f9707acf35542d8eec68', 'KSC', 'LCJ', 100, '2024-07-03', '17:19:00', 'Lufthansa', '13 hours', 383)
('6677f9707acf35542d8eec6c', 'MBA', 'VOG', 100, '2024-07-02', '02:16:00', 'Ryanair', '3 hours', 140)
('6677f9707acf35542d8eec71', 'OTP', 'POP', 100, '2024-06-27', '10:08:00', 'EasyJet', '7 hours', 106)
('6677f9707acf35542d8eec72', 'OTP', 'NAG', 100, '2024-06-27', '05:50:00', 'British Airways', '14 hours', 433)
('6677f9707acf35542d8eec76', 'OMR', 'BXU', 100, '2024-07-01', '17:14:00', 'Lufthansa', '4 hours', 60)
('6677f9707acf35542d8eec7b', 'BCM', 'POS', 100, '2024-06-24', '04:57:00', 'Lufthansa', '5 hours', 272)
('6677f9707acf35542d8eec80', 'KIS', 'MSP', 100, '2024-06-28', '15:03:00', 'Air France', '10 hours', 113)
('6677f9707acf35542d8eec85', 'EDL', 'KOE', 100, '2024-07-01', '23:27:00', 'EasyJet', '9 hours', 333)
('6677f9707acf35542d8eec86', 'EDL', 'AVV', 100, '2024-06-28', '22:22:00', 'EasyJet', '13 hours', 137)
('6677f9707acf35542d8eec87', 'EDL', 'AAP', 100, '2024-06-30', '10:52:00', 'EasyJet', '9 hours', 351)
('6677f9707acf35542d8eec8a', 'TLL', 'SWA', 100, '2024-06-29', '08:55:00', 'Air France', '7 hours', 382)
('6677f9707acf35542d8eec8f', 'CLO', 'DXB', 100, '2024-06-28', '18:46:00', 'Lufthansa', '11 hours', 225)
('6677f9707acf35542d8eec90', 'CLO', 'EAS', 100, '2024-06-30', '06:19:00', 'Lufthansa', '8 hours', 438)
('6677f9707acf35542d8eec94', 'OGL', 'UVF', 100, '2024-06-26', '08:16:00', 'Ryanair', '7 hours', 53)
('6677f9707acf35542d8eec99', 'OSW', 'SDQ', 100, '2024-07-01', '16:33:00', 'Air France', '7 hours', 243)
('6677f9707acf35542d8eec9a', 'OSW', 'BEG', 100, '2024-06-28', '21:16:00', 'Lufthansa', '14 hours', 478)
('6677f9707acf35542d8eec9b', 'OSW', 'TAI', 100, '2024-06-24', '03:39:00', 'EasyJet', '11 hours', 260)
('6677f9707acf35542d8eec9c', 'OSW', 'MDE', 100, '2024-07-02', '18:27:00', 'EasyJet', '9 hours', 78)
('6677f9717acf35542d8eec9e', 'SIP', 'OUL', 100, '2024-06-24', '16:59:00', 'British Airways', '12 hours', 142)
('6677f9717acf35542d8eec9f', 'SIP', 'NTE', 100, '2024-06-28', '05:35:00', 'Ryanair', '12 hours', 92)
('6677f9717acf35542d8eeca3', 'GZT', 'PDP', 100, '2024-07-01', '07:24:00', 'British Airways', '2 hours', 85)
('6677f9717acf35542d8eeca8', 'SYX', 'GNB', 100, '2024-06-26', '17:41:00', 'British Airways', '1 hours', 115)
('6677f9717acf35542d8eeca9', 'SYX', 'BUS', 100, '2024-07-01', '12:52:00', 'Lufthansa', '13 hours', 281)
('6677f9717acf35542d8eecaa', 'SYX', 'LRR', 100, '2024-07-02', '20:10:00', 'Lufthansa', '13 hours', 117)
('6677f9717acf35542d8eecad', 'KWI', 'TXN', 100, '2024-06-29', '03:14:00', 'EasyJet', '12 hours', 219)
('6677f9717acf35542d8eecb2', 'ANU', 'BRU', 100, '2024-06-24', '20:01:00', 'Ryanair', '1 hours', 466)
('6677f9717acf35542d8eecb3', 'ANU', 'LRR', 100, '2024-06-24', '02:38:00', 'Air France', '12 hours', 345)
('6677f9717acf35542d8eecb7', 'TLC', 'IKA', 100, '2024-06-26', '23:29:00', 'EasyJet', '7 hours', 223)
('6677f9717acf35542d8eecb8', 'TLC', 'OZH', 100, '2024-06-26', '08:17:00', 'Lufthansa', '7 hours', 162)
('6677f9717acf35542d8eecb9', 'TLC', 'ZAH', 100, '2024-06-24', '00:34:00', 'Air France', '5 hours', 474)
('6677f9717acf35542d8eecba', 'TLC', 'WAW', 100, '2024-06-28', '15:44:00', 'Air France', '14 hours', 328)
('6677f9717acf35542d8eecbc', 'MIR', 'BWA', 100, '2024-06-28', '16:25:00', 'Air France', '13 hours', 51)
('6677f9717acf35542d8eecbd', 'MIR', 'TRN', 100, '2024-06-27', '00:03:00', 'British Airways', '12 hours', 486)
('6677f9717acf35542d8eecbe', 'MIR', 'FAR', 100, '2024-07-03', '11:14:00', 'Lufthansa', '3 hours', 209)
('6677f9717acf35542d8eecbf', 'MIR', 'STW', 100, '2024-06-26', '16:40:00', 'British Airways', '3 hours', 116)
('6677f9717acf35542d8eecc1', 'OMH', 'DYG', 100, '2024-07-02', '19:55:00', 'Ryanair', '11 hours', 229)
('6677f9717acf35542d8eecc2', 'OMH', 'IKA', 100, '2024-06-29', '05:07:00', 'Air France', '11 hours', 489)
('6677f9717acf35542d8eecc6', 'TAT', 'PMC', 100, '2024-06-24', '09:40:00', 'British Airways', '6 hours', 435)
('6677f9717acf35542d8eecc7', 'TAT', 'SFO', 100, '2024-06-29', '09:28:00', 'Lufthansa', '4 hours', 226)
('6677f9717acf35542d8eeccb', 'IKA', 'AXA', 100, '2024-07-01', '23:19:00', 'Air France', '8 hours', 187)
('6677f9717acf35542d8eeccc', 'IKA', 'SJW', 100, '2024-06-27', '03:07:00', 'EasyJet', '10 hours', 81)
('6677f9717acf35542d8eeccd', 'IKA', 'ADL', 100, '2024-06-30', '05:06:00', 'Ryanair', '11 hours', 207)
('6677f9717acf35542d8eecce', 'IKA', 'BRU', 100, '2024-06-26', '06:12:00', 'Ryanair', '8 hours', 480)
('6677f9727acf35542d8eecd0', 'SOU', 'STD', 100, '2024-07-01', '16:55:00', 'British Airways', '8 hours', 316)
('6677f9727acf35542d8eecd1', 'SOU', 'PIK', 100, '2024-06-27', '09:26:00', 'Air France', '6 hours', 304)
('6677f9727acf35542d8eecd2', 'SOU', 'CHQ', 100, '2024-06-29', '09:04:00', 'Ryanair', '3 hours', 125)
('6677f9727acf35542d8eecd3', 'SOU', 'MQT', 100, '2024-07-03', '18:59:00', 'EasyJet', '9 hours', 91)
('6677f9727acf35542d8eecd5', 'HMB', 'HIK', 100, '2024-06-30', '11:27:00', 'British Airways', '4 hours', 445)
('6677f9727acf35542d8eecd6', 'HMB', 'ESL', 100, '2024-07-03', '05:19:00', 'British Airways', '10 hours', 423)
('6677f9727acf35542d8eecd7', 'HMB', 'RNS', 100, '2024-06-29', '15:36:00', 'British Airways', '3 hours', 450)
('6677f9727acf35542d8eecda', 'BUF', 'PDP', 100, '2024-07-03', '16:25:00', 'Lufthansa', '7 hours', 433)
('6677f9727acf35542d8eecdf', 'GZP', 'IBZ', 100, '2024-06-25', '19:47:00', 'Ryanair', '3 hours', 413)
('6677f9727acf35542d8eece0', 'GZP', 'BGW', 100, '2024-06-24', '09:19:00', 'Air France', '4 hours', 350)
('6677f9727acf35542d8eece1', 'GZP', 'NCE', 100, '2024-06-25', '09:32:00', 'EasyJet', '7 hours', 389)
('6677f9727acf35542d8eece4', 'PHL', 'SPN', 100, '2024-07-01', '02:04:00', 'Ryanair', '6 hours', 104)
('6677f9727acf35542d8eece9', 'MIA', 'RMU', 100, '2024-06-27', '14:27:00', 'Lufthansa', '13 hours', 247)
('6677f9727acf35542d8eecee', 'SWA', 'AXA', 100, '2024-06-24', '04:02:00', 'Ryanair', '14 hours', 91)
('6677f9727acf35542d8eecf3', 'ADU', 'KLU', 100, '2024-06-30', '17:35:00', 'Air France', '3 hours', 91)
('6677f9727acf35542d8eecf4', 'ADU', 'ZAZ', 100, '2024-06-27', '04:54:00', 'Air France', '3 hours', 186)
